sample_index;forward_barcode;reverse_barcode;count
i3001;FB202909;RB202909;4233
i3001;FB200279;RB200279;125
i3001;FB201128;RB201128;17985
i3001;FB200325;RB200325;2188
i3001;FB202006;RB202006;67
i3001;FB202070;RB202070;69
i3001;FB201541;RB201541;4415
i3001;FB201032;RB201032;437
i3001;FB202059;RB202059;9355
i3001;FB202054;RB202054;15561
i3001;FB201193;RB201193;5860
i3001;FB200839;RB200839;173
i3001;FB200065;RB200065;4815
i3001;FB202471;RB202471;157
i3001;FB200103;RB200103;5825
i3001;FB201503;RB201503;2009
i3001;FB201378;RB201378;794
i3001;FB201981;RB201981;1092
i3001;FB201880;RB201880;3679
i3001;FB201256;RB201256;1621
i3001;FB201667;RB201667;83279
i3001;FB201184;RB201184;15433
i3001;FB200764;RB200764;4933
i3001;FB200063;RB200063;2591
i3001;FB201245;RB201245;2919
i3001;FB200789;RB200789;17548
i3001;FB200319;RB200319;643
i3001;FB202060;RB202060;426
i3001;FB200066;RB200066;1188
i3001;FB201352;RB201352;1804
i3001;FB203333;RB203333;2836
i3001;FB201201;RB201201;302
i3001;FB200530;RB200530;238
i3001;FB200473;RB200473;953
i3001;FB201522;RB201522;950
i3001;FB200717;RB200717;153
i3001;FB200149;RB200149;60
i3001;FB202013;RB202013;342
i3001;FB201025;RB201025;83
i3001;FB201010;RB201010;20123
i3001;FB203365;RB203365;14025
i3001;FB201654;RB201654;10522
i3001;FB203314;RB203314;50
i3001;FB201714;RB201714;18584
i3001;FB201900;RB201900;7994
i3001;FB201458;RB201458;6469
i3001;FB202161;RB202161;480
i3001;FB201246;RB201246;3498
i3001;FB201808;RB201808;225522
i3001;FB200937;RB200937;250102
i3001;FB201151;RB201151;4386
i3001;FB201913;RB201913;7871
i3001;FB201557;RB201557;12437
i3001;FB201442;RB201442;19689
i3001;FB200383;RB200383;338
i3001;FB201254;RB201254;1036
i3001;FB201441;RB201441;4953
i3001;FB201603;RB201603;898
i3001;FB202951;RB202951;3170
i3001;FB202698;RB202698;2668
i3001;FB201620;RB201620;5540
i3001;FB200518;RB200518;4234
i3001;FB200446;RB200446;7459
i3001;FB201871;RB201871;1550
i3001;FB200049;RB200049;849
i3001;FB201577;RB201577;23828
i3001;FB200954;RB200954;678
i3001;FB201499;RB201499;2111
i3001;FB201380;RB201380;990
i3001;FB201292;RB201292;7928
i3001;FB201562;RB201562;2091
i3001;FB200690;RB200690;11498
i3001;FB202089;RB202089;15718
i3001;FB201684;RB201684;8439
i3001;FB201131;RB201131;24923
i3001;FB203075;RB203075;847
i3001;FB201569;RB201569;6931
i3001;FB202045;RB202045;1940
i3001;FB201231;RB201231;5075
i3001;FB201688;RB201688;8521
i3001;FB202419;RB202419;3894
i3001;FB203292;RB203292;442
i3001;FB202159;RB202159;2322
i3001;FB202977;RB202977;17691
i3001;FB201972;RB201972;776
i3001;FB201165;RB201165;1193
i3001;FB200010;RB200010;16852
i3001;FB201476;RB201476;4529
i3001;FB201252;RB201252;546
i3001;FB201910;RB201910;4005
i3001;FB201174;RB201174;6342
i3001;FB202641;RB202641;807
i3001;FB200684;RB200684;2511
i3001;FB202457;RB202457;438
i3001;FB200804;RB200804;1256
i3001;FB200078;RB200078;1033
i3001;FB202767;RB202767;489
i3001;FB201784;RB201784;512
i3001;FB200920;RB200920;1294
i3001;FB200834;RB200834;359
i3001;FB202086;RB202086;932
i3001;FB202277;RB202277;787
i3001;FB200805;RB200805;769
i3001;FB202947;RB202947;222
i3001;FB202500;RB202500;176
i3001;FB200491;RB200491;204
i3001;FB202145;RB202145;3083
i3001;FB200253;RB200253;200
i3001;FB202883;RB202883;4443
i3001;FB201811;RB201811;2903
i3001;FB201843;RB201843;6715
i3001;FB202677;RB202677;5529
i3001;FB200044;RB200044;2172
i3001;FB201288;RB201288;4993
i3001;FB200233;RB200233;1043
i3001;FB201634;RB201634;3124
i3001;FB201275;RB201275;4459
i3001;FB201066;RB201066;35936
i3001;FB202356;RB202356;4358
i3001;FB203004;RB203004;40752
i3001;FB201208;RB201208;2804
i3001;FB201388;RB201388;1101
i3001;FB200281;RB200281;877
i3001;FB201225;RB201225;6513
i3001;FB200106;RB200106;471
i3001;FB201249;RB201249;420
i3001;FB201588;RB201588;2255
i3001;FB201590;RB201590;7234
i3001;FB201962;RB201962;1673
i3001;FB203056;RB203056;1057
i3001;FB201898;RB201898;1000
i3001;FB202111;RB202111;2644
i3001;FB201496;RB201496;1801
i3001;FB202523;RB202523;1243
i3001;FB201858;RB201858;4006
i3001;FB201036;RB201036;32774
i3001;FB201319;RB201319;43771
i3001;FB202670;RB202670;535
i3001;FB201722;RB201722;18898
i3001;FB200086;RB200086;3334
i3001;FB201977;RB201977;3217
i3001;FB201773;RB201773;3589
i3001;FB200019;RB200019;21646
i3001;FB202562;RB202562;406
i3001;FB201235;RB201235;3748
i3001;FB203870;RB203870;797
i3001;FB202790;RB202790;2282
i3001;FB201582;RB201582;7496
i3001;FB202573;RB202573;19
i3001;FB202587;RB202587;133
i3001;FB201217;RB201217;4827
i3001;FB201532;RB201532;876
i3001;FB201311;RB201311;1217
i3001;FB201665;RB201665;7032
i3001;FB200590;RB200590;25554
i3001;FB201845;RB201845;9043
i3001;FB200881;RB200881;4184
i3001;FB200271;RB200271;15295
i3001;FB202485;RB202485;2294
i3001;FB201803;RB201803;1682
i3001;FB202406;RB202406;377
i3001;FB200418;RB200418;46183
i3001;FB201060;RB201060;23187
i3001;FB200123;RB200123;702
i3001;FB202595;RB202595;1972
i3001;FB201422;RB201422;40304
i3001;FB203221;RB203221;352846
i3001;FB200372;RB200372;33494
i3001;FB201825;RB201825;1829
i3001;FB200545;RB200545;611
i3001;FB200577;RB200577;896
i3001;FB200475;RB200475;118
i3001;FB200061;RB200061;160
i3001;FB200275;RB200275;2875
i3001;FB201078;RB201078;2985
i3001;FB200212;RB200212;8027
i3001;FB202841;RB202841;1310
i3001;FB200215;RB200215;513
i3001;FB200334;RB200334;95
i3001;FB200923;RB200923;134
i3001;FB201480;RB201480;563
i3001;FB201114;RB201114;312
i3001;FB202071;RB202071;1367
i3001;FB200147;RB200147;2479
i3001;FB201754;RB201754;342
i3001;FB200800;RB200800;5014
i3001;FB203196;RB203196;1739
i3001;FB200069;RB200069;290
i3001;FB200403;RB200403;94
i3001;FB200837;RB200837;99
i3001;FB200331;RB200331;1160
i3001;FB200389;RB200389;9204
i3001;FB201338;RB201338;21772
i3001;FB202680;RB202680;2696
i3001;FB201701;RB201701;3790
i3001;FB201937;RB201937;224
i3001;FB201695;RB201695;1086
i3001;FB201924;RB201924;25702
i3001;FB201851;RB201851;260
i3001;FB201917;RB201917;5475
i3001;FB204052;RB204052;589
i3001;FB201150;RB201150;2518
i3001;FB201146;RB201146;860
i3001;FB201600;RB201600;6466
i3001;FB202010;RB202010;1206
i3001;FB201412;RB201412;19194
i3001;FB200267;RB200267;1285
i3001;FB202273;RB202273;3327
i3001;FB202299;RB202299;636
i3001;FB202607;RB202607;6054
i3001;FB200091;RB200091;946
i3001;FB202182;RB202182;148
i3001;FB203317;RB203317;554
i3001;FB200339;RB200339;14083
i3001;FB200360;RB200360;214
i3001;FB202752;RB202752;698
i3001;FB200734;RB200734;8482
i3001;FB202734;RB202734;39455
i3001;FB202058;RB202058;666
i3001;FB201102;RB201102;8006
i3001;FB200399;RB200399;3274
i3001;FB201237;RB201237;2234
i3001;FB201540;RB201540;4218
i3001;FB202340;RB202340;68772
i3001;FB200241;RB200241;254
i3001;FB201769;RB201769;261
i3001;FB200109;RB200109;163
i3001;FB201138;RB201138;220
i3001;FB201947;RB201947;37428
i3001;FB200497;RB200497;964
i3001;FB203202;RB203202;2000
i3001;FB200875;RB200875;14334
i3001;FB201210;RB201210;2799
i3001;FB202144;RB202144;1489
i3001;FB201870;RB201870;2402
i3001;FB202995;RB202995;5569
i3001;FB201970;RB201970;1796
i3001;FB200064;RB200064;10283
i3001;FB202066;RB202066;2923
i3001;FB200256;RB200256;3885
i3001;FB202198;RB202198;67597
i3001;FB203050;RB203050;2081
i3001;FB201082;RB201082;87
i3001;FB201420;RB201420;925
i3001;FB201526;RB201526;1580
i3001;FB201463;RB201463;204
i3001;FB201527;RB201527;7506
i3001;FB203324;RB203324;2505
i3001;FB202736;RB202736;790
i3001;FB200090;RB200090;104
i3001;FB200468;RB200468;930
i3001;FB2IC045;RB2IC045;3968
i3001;FB201747;RB201747;1039
i3001;FB200244;RB200244;7229
i3001;FB201572;RB201572;9007
i3001;FB201787;RB201787;2509
i3001;FB200199;RB200199;25366
i3001;FB202691;RB202691;149
i3001;FB200715;RB200715;1397
i3001;FB201124;RB201124;5034
i3001;FB200415;RB200415;792
i3001;FB202138;RB202138;6497
i3001;FB200998;RB200998;156
i3001;FB202171;RB202171;3111
i3001;FB200682;RB200682;13949
i3001;FB201479;RB201479;370
i3001;FB202134;RB202134;4783
i3001;FB202025;RB202025;618
i3001;FB203289;RB203289;454
i3001;FB201377;RB201377;271
i3001;FB200300;RB200300;299
i3001;FB200915;RB200915;2244
i3001;FB202787;RB202787;3717
i3001;FB203345;RB203345;4623
i3001;FB201269;RB201269;401
i3001;FB202200;RB202200;1398
i3001;FB201255;RB201255;2249
i3001;FB202201;RB202201;1091
i3001;FB202583;RB202583;1858
i3001;FB201432;RB201432;12257
i3001;FB201156;RB201156;1346
i3001;FB201334;RB201334;966
i3001;FB203277;RB203277;359
i3001;FB200878;RB200878;725
i3001;FB200408;RB200408;584
i3001;FB200309;RB200309;370
i3001;FB202258;RB202258;99
i3001;FB200030;RB200030;740
i3001;FB202725;RB202725;2952
i3001;FB200548;RB200548;37864
i3001;FB200242;RB200242;1064
i3001;FB200411;RB200411;73204
i3001;FB200270;RB200270;403
i3001;FB202629;RB202629;9960
i3001;FB201410;RB201410;4999
i3001;FB201544;RB201544;3288
i3001;FB202476;RB202476;903
i3001;FB200884;RB200884;122
i3001;FB200571;RB200571;174
i3001;FB200188;RB200188;436
i3001;FB200980;RB200980;109
i3001;FB202497;RB202497;45
i3001;FB200263;RB200263;117
i3001;FB202188;RB202188;262
i3001;FB201243;RB201243;5964
i3001;FB201798;RB201798;248
i3001;FB202817;RB202817;2858
i3001;FB202794;RB202794;1268
i3001;FB201398;RB201398;7512
i3001;FB201399;RB201399;434
i3001;FB201666;RB201666;7321
i3001;FB201343;RB201343;760
i3001;FB201147;RB201147;2
i3001;FB202555;RB202555;1515
i3001;FB201266;RB201266;2926
i3001;FB201987;RB201987;855
i3001;FB202100;RB202100;2029
i3001;FB202845;RB202845;254
i3001;FB201830;RB201830;13118
i3001;FB200247;RB200247;58814
i3001;FB201925;RB201925;3358
i3001;FB202928;RB202928;26459
i3001;FB202120;RB202120;795
i3001;FB201774;RB201774;3058
i3001;FB202116;RB202116;1273
i3001;FB202106;RB202106;944
i3001;FB201148;RB201148;1212
i3001;FB201960;RB201960;11775
i3001;FB200673;RB200673;115
i3001;FB200317;RB200317;2540
i3001;FB202128;RB202128;12603
i3001;FB202147;RB202147;9941
i3001;FB201990;RB201990;6165
i3001;FB200427;RB200427;12278
i3001;FB201927;RB201927;5744
i3001;FB202850;RB202850;15128
i3001;FB201704;RB201704;130
i3001;FB202172;RB202172;458
i3001;FB200203;RB200203;418
i3001;FB200033;RB200033;8518
i3001;FB200151;RB200151;40636
i3001;FB202180;RB202180;1679
i3001;FB203352;RB203352;283
i3001;FB202430;RB202430;347
i3001;FB203309;RB203309;505
i3001;FB202083;RB202083;2868
i3001;FB202133;RB202133;3982
i3001;FB201134;RB201134;6758
i3001;FB200014;RB200014;188
i3001;FB201614;RB201614;5128
i3001;FB200050;RB200050;4355
i3001;FB200196;RB200196;317
i3001;FB202432;RB202432;276
i3001;FB201638;RB201638;353
i3001;FB201991;RB201991;57
i3001;FB200653;RB200653;166
i3001;FB200732;RB200732;1920
i3001;FB200982;RB200982;54
i3001;FB200792;RB200792;1080
i3001;FB200127;RB200127;109
i3001;FB201506;RB201506;24447
i3001;FB201043;RB201043;1873
i3001;FB200291;RB200291;1393
i3001;FB201556;RB201556;5213
i3001;FB202108;RB202108;10712
i3001;FB202343;RB202343;5666
i3001;FB200234;RB200234;37393
i3001;FB201868;RB201868;3499
i3001;FB202514;RB202514;180
i3001;FB201450;RB201450;580
i3001;FB202203;RB202203;19010
i3001;FB200153;RB200153;277
i3001;FB200204;RB200204;8092
i3001;FB200659;RB200659;18194
i3001;FB201194;RB201194;4813
i3001;FB200752;RB200752;73
i3001;FB201797;RB201797;1067
i3001;FB200288;RB200288;1163
i3001;FB201954;RB201954;2254
i3001;FB200971;RB200971;356
i3001;FB200547;RB200547;1384
i3001;FB201177;RB201177;3598
i3001;FB202373;RB202373;2086
i3001;FB200417;RB200417;174
i3001;FB200978;RB200978;192
i3001;FB200290;RB200290;106
i3001;FB203403;RB203403;13256
i3001;FB201500;RB201500;9307
i3001;FB202137;RB202137;1420
i3001;FB200229;RB200229;72
i3001;FB202193;RB202193;2804
i3001;FB201173;RB201173;451
i3001;FB201636;RB201636;1060
i3001;FB200185;RB200185;2913
i3001;FB202612;RB202612;1569
i3001;FB202271;RB202271;379
i3001;FB202085;RB202085;131
i3001;FB201265;RB201265;4131
i3001;FB201263;RB201263;34711
i3001;FB201219;RB201219;218
i3001;FB202662;RB202662;1035
i3001;FB200698;RB200698;4081
i3001;FB203285;RB203285;2184
i3001;FB200172;RB200172;182
i3001;FB201873;RB201873;107
i3001;FB200809;RB200809;82
i3001;FB201370;RB201370;461
i3001;FB202849;RB202849;105
i3001;FB202142;RB202142;370
i3001;FB201696;RB201696;8723
i3001;FB200621;RB200621;41
i3001;FB200009;RB200009;1399
i3001;FB202146;RB202146;910
i3001;FB202596;RB202596;60
i3001;FB203194;RB203194;2444
i3001;FB200176;RB200176;736
i3001;FB202148;RB202148;1812
i3001;FB200070;RB200070;306
i3001;FB200223;RB200223;1399
i3001;FB202908;RB202908;8224
i3001;FB201751;RB201751;13685
i3001;FB203037;RB203037;257
i3001;FB201359;RB201359;188
i3001;FB201757;RB201757;1972
i3001;FB203102;RB203102;160
i3001;FB200337;RB200337;16132
i3001;FB200886;RB200886;1395
i3001;FB200255;RB200255;202
i3001;FB201197;RB201197;3935
i3001;FB200770;RB200770;2759
i3001;FB201816;RB201816;4393
i3001;FB202450;RB202450;805
i3001;FB202157;RB202157;143
i3001;FB201869;RB201869;613
i3001;FB201984;RB201984;2724
i3001;FB200175;RB200175;11311
i3001;FB202098;RB202098;2279
i3001;FB202185;RB202185;169
i3001;FB201381;RB201381;2297
i3001;FB200237;RB200237;4690
i3001;FB203415;RB203415;372
i3001;FB201274;RB201274;1971
i3001;FB202358;RB202358;355
i3001;FB200430;RB200430;140
i3001;FB2IC010;RB2IC010;10587
i3001;FB200216;RB200216;6227
i3001;FB203278;RB203278;91
i3001;FB203205;RB203205;7631
i3001;FB200410;RB200410;3789
i3001;FB200343;RB200343;4269
i3001;FB200055;RB200055;390
i3001;FB201715;RB201715;1002
i3001;FB201122;RB201122;1214
i3001;FB200132;RB200132;167
i3001;FB202055;RB202055;1828
i3001;FB202584;RB202584;731
i3001;FB201017;RB201017;25026
i3001;FB201591;RB201591;924
i3001;FB200158;RB200158;415
i3001;FB201894;RB201894;6563
i3001;FB202387;RB202387;627
i3001;FB201549;RB201549;46787
i3001;FB201677;RB201677;6074
i3001;FB200419;RB200419;1753
i3001;FB201593;RB201593;2682
i3001;FB201985;RB201985;1091
i3001;FB201523;RB201523;1428
i3001;FB201008;RB201008;20584
i3001;FB201961;RB201961;3410
i3001;FB200797;RB200797;34403
i3001;FB201690;RB201690;2204
i3001;FB200753;RB200753;7204
i3001;FB203425;RB203425;18853
i3001;FB202046;RB202046;5535
i3001;FB201560;RB201560;1390
i3001;FB203286;RB203286;6557
i3001;FB203421;RB203421;35
i3001;FB201721;RB201721;1016
i3001;FB200261;RB200261;252
i3001;FB200432;RB200432;618
i3001;FB201763;RB201763;14534
i3001;FB201607;RB201607;6096
i3001;FB202571;RB202571;40
i3001;FB202043;RB202043;1911
i3001;FB202265;RB202265;497
i3001;FB201953;RB201953;4546
i3001;FB200448;RB200448;13339
i3001;FB201444;RB201444;931
i3001;FB201031;RB201031;1403
i3001;FB201671;RB201671;4558
i3001;FB201386;RB201386;18377
i3001;FB202495;RB202495;22378
i3001;FB201139;RB201139;4957
i3001;FB201346;RB201346;2658
i3001;FB200003;RB200003;5693
i3001;FB202220;RB202220;1765
i3001;FB201764;RB201764;510
i3001;FB202423;RB202423;180
i3001;FB200855;RB200855;1469
i3001;FB201692;RB201692;1349
i3001;FB201277;RB201277;221
i3001;FB201169;RB201169;1421
i3001;FB201575;RB201575;17886
i3001;FB201647;RB201647;786
i3001;FB201520;RB201520;13088
i3001;FB200401;RB200401;188
i3001;FB200258;RB200258;345
i3001;FB201294;RB201294;726
i3001;FB200863;RB200863;29001
i3001;FB201510;RB201510;2485
i3001;FB200129;RB200129;10956
i3001;FB202351;RB202351;312
i3001;FB202183;RB202183;1507
i3001;FB200114;RB200114;163
i3001;FB202435;RB202435;6826
i3001;FB200096;RB200096;24
i3001;FB201033;RB201033;17807
i3001;FB201376;RB201376;1254
i3001;FB201570;RB201570;13808
i3001;FB203431;RB203431;20924
i3001;FB202096;RB202096;32967
i3001;FB201697;RB201697;1543
i3001;FB201280;RB201280;664
i3001;FB202003;RB202003;45
i3001;FB200534;RB200534;30016
i3001;FB200240;RB200240;395
i3001;FB200477;RB200477;196
i3001;FB202371;RB202371;7531
i3001;FB201942;RB201942;5647
i3001;FB202216;RB202216;221
i3001;FB202440;RB202440;16032
i3001;FB202526;RB202526;134
i3001;FB201325;RB201325;3660
i3001;FB201822;RB201822;71042
i3001;FB201092;RB201092;4939
i3001;FB200872;RB200872;84880
i3001;FB201279;RB201279;43625
i3001;FB200338;RB200338;54
i3001;FB201009;RB201009;1159
i3001;FB202826;RB202826;1578
i3001;FB202214;RB202214;3076
i3001;FB202615;RB202615;28053
i3001;FB201829;RB201829;3033
i3001;FB201912;RB201912;6634
i3001;FB201379;RB201379;2326
i3001;FB200603;RB200603;209
i3001;FB200811;RB200811;629
i3001;FB200688;RB200688;421
i3001;FB201341;RB201341;2449
i3001;FB201820;RB201820;8996
i3001;FB200180;RB200180;919
i3001;FB200171;RB200171;127
i3001;FB202547;RB202547;710
i3001;FB200394;RB200394;115
i3001;FB201849;RB201849;3762
i3001;FB201428;RB201428;2888
i3001;FB200803;RB200803;3534
i3001;FB203227;RB203227;722
i3001;FB201809;RB201809;4302
i3001;FB201839;RB201839;901
i3001;FB200614;RB200614;1205
i3001;FB202282;RB202282;1107
i3001;FB200663;RB200663;65652
i3001;FB204469;RB204469;18553
i3001;FB200420;RB200420;155520
i3001;FB200347;RB200347;90
i3001;FB201883;RB201883;2956
i3001;FB200794;RB200794;599
i3001;FB203394;RB203394;2040
i3001;FB201640;RB201640;38756
i3001;FB202230;RB202230;192
i3001;FB202661;RB202661;129
i3001;FB200211;RB200211;292
i3001;FB202955;RB202955;719
i3001;FB201678;RB201678;662
i3001;FB202293;RB202293;635
i3001;FB200661;RB200661;1095
i3001;FB201142;RB201142;1362
i3001;FB201186;RB201186;1082
i3001;FB202635;RB202635;19491
i3001;FB201348;RB201348;286
i3001;FB200167;RB200167;1442
i3001;FB201545;RB201545;1342
i3001;FB202447;RB202447;136
i3001;FB201416;RB201416;3645
i3001;FB200160;RB200160;628
i3001;FB200882;RB200882;1182
i3001;FB200539;RB200539;1165
i3001;FB200115;RB200115;1353
i3001;FB202768;RB202768;1278
i3001;FB201283;RB201283;7749
i3001;FB202488;RB202488;215
i3001;FB201384;RB201384;1114
i3001;FB202515;RB202515;262
i3001;FB201703;RB201703;166
i3001;FB202528;RB202528;290
i3001;FB201801;RB201801;1695
i3001;FB201733;RB201733;20998
i3001;FB202242;RB202242;1
i3001;FB200599;RB200599;4150
i3001;FB200930;RB200930;54751
i3001;FB202088;RB202088;232
i3001;FB200787;RB200787;502
i3001;FB201347;RB201347;79
i3001;FB202963;RB202963;2171
i3001;FB200029;RB200029;844
i3001;FB201273;RB201273;578
i3001;FB203168;RB203168;97
i3001;FB201475;RB201475;2899
i3001;FB201943;RB201943;1495
i3001;FB201708;RB201708;24809
i3001;FB201863;RB201863;2119
i3001;FB200235;RB200235;26
i3001;FB201340;RB201340;2436
i3001;FB201459;RB201459;1088
i3001;FB201635;RB201635;1347
i3001;FB201453;RB201453;4584
i3001;FB200699;RB200699;95
i3001;FB201287;RB201287;3999
i3001;FB201233;RB201233;2595
i3001;FB201789;RB201789;28765
i3001;FB200273;RB200273;301
i3001;FB200209;RB200209;223
i3001;FB200135;RB200135;2879
i3001;FB200947;RB200947;106
i3001;FB201867;RB201867;2628
i3001;FB201612;RB201612;1644
i3001;FB201433;RB201433;5033
i3001;FB201136;RB201136;568
i3001;FB202375;RB202375;668
i3001;FB201633;RB201633;479
i3001;FB200089;RB200089;261
i3001;FB201409;RB201409;1726
i3001;FB200687;RB200687;465
i3001;FB200483;RB200483;1392
i3001;FB200034;RB200034;245
i3001;FB200002;RB200002;145
i3001;FB200280;RB200280;856
i3001;FB201203;RB201203;708
i3001;FB201172;RB201172;7797
i3001;FB201103;RB201103;776
i3001;FB202694;RB202694;16
i3001;FB201064;RB201064;152
i3001;FB200833;RB200833;182
i3001;FB201793;RB201793;257
i3001;FB200640;RB200640;23905
i3001;FB202192;RB202192;3105
i3001;FB201705;RB201705;1457
i3001;FB201345;RB201345;240
i3001;FB202620;RB202620;197
i3001;FB200168;RB200168;107
i3001;FB200445;RB200445;1341
i3001;FB201372;RB201372;7924
i3001;FB200306;RB200306;477
i3001;FB203341;RB203341;90
i3001;FB201730;RB201730;22107
i3001;FB201196;RB201196;1447
i3001;FB201539;RB201539;231
i3001;FB202722;RB202722;1078
i3001;FB201517;RB201517;9949
i3001;FB201067;RB201067;27411
i3001;FB200080;RB200080;687
i3001;FB200161;RB200161;102
i3001;FB203340;RB203340;610
i3001;FB202475;RB202475;1828
i3001;FB201727;RB201727;610
i3001;FB201238;RB201238;374
i3001;FB201244;RB201244;4574
i3001;FB200174;RB200174;1210
i3001;FB200107;RB200107;2145
i3001;FB200681;RB200681;565
i3001;FB200182;RB200182;955
i3001;FB203218;RB203218;3404
i3001;FB200366;RB200366;1490
i3001;FB201896;RB201896;401
i3001;FB201004;RB201004;34459
i3001;FB200276;RB200276;261
i3001;FB202586;RB202586;1008
i3001;FB201211;RB201211;4164
i3001;FB202574;RB202574;33
i3001;FB201814;RB201814;1291
i3001;FB201893;RB201893;455
i3001;FB202613;RB202613;505
i3001;FB201567;RB201567;5684
i3001;FB201236;RB201236;5744
i3001;FB201516;RB201516;3465
i3001;FB203250;RB203250;281
i3001;FB202603;RB202603;37
i3001;FB202112;RB202112;295
i3001;FB200110;RB200110;430
i3001;FB203275;RB203275;1243
i3001;FB201716;RB201716;3023
i3001;FB201723;RB201723;2508
i3001;FB201741;RB201741;10129
i3001;FB202797;RB202797;235
i3001;FB200126;RB200126;8
i3001;FB201957;RB201957;25659
i3001;FB202393;RB202393;95
i3001;FB200370;RB200370;127
i3001;FB201383;RB201383;850
i3001;FB200994;RB200994;528
i3001;FB201434;RB201434;827
i3001;FB203377;RB203377;45
i3001;FB201768;RB201768;20666
i3001;FB203226;RB203226;684
i3001;FB202754;RB202754;2132
i3001;FB201068;RB201068;13410
i3001;FB200206;RB200206;941
i3001;FB202015;RB202015;3979
i3001;FB202027;RB202027;4921
i3001;FB202314;RB202314;20337
i3001;FB202941;RB202941;3011
i3001;FB202701;RB202701;232
i3001;FB201524;RB201524;11240
i3001;FB202542;RB202542;593
i3001;FB202674;RB202674;30006
i3001;FB200391;RB200391;906
i3001;FB200931;RB200931;1564
i3001;FB200465;RB200465;508
i3001;FB201988;RB201988;2614
i3001;FB200006;RB200006;609
i3001;FB202262;RB202262;2485
i3001;FB200670;RB200670;329
i3001;FB201675;RB201675;521
i3001;FB202094;RB202094;4995
i3001;FB202104;RB202104;371
i3001;FB201247;RB201247;9751
i3001;FB202472;RB202472;203
i3001;FB203233;RB203233;1952
i3001;FB201599;RB201599;1268
i3001;FB202565;RB202565;71
i3001;FB201472;RB201472;21234
i3001;FB202196;RB202196;2328
i3001;FB200314;RB200314;458
i3001;FB202269;RB202269;90
i3001;FB200517;RB200517;1223
i3001;FB201487;RB201487;2506
